Yr,Loc,Env,Dis,Group,Trt,Rep,Row,Pop,Pop.ha,Fung,DI,DS,DIX,Ybu,Ykg,Inc_9,Inc_12,Inc_15,Seed.cost,Fung.cost,Total.cost,Profit9,Profit12,Profit15,PredSclerkg
2018,Dekalb,Dekalb-2018,0,Fully,8,3,15,170000,420000,Amodel,0,0,0,100,6725,2219.3,2959,3698.8,186,57.3,243.3,1976,2715.7,3455.5,0
2018,Dekalb,Dekalb-2018,0,Fully,11,4,15,200000,495000,Amodel,0,0,0,100.74,6774.8,2235.7,2980.9,3726.1,219.2,57.3,276.5,1959.2,2704.4,3449.6,0
2018,Dekalb,Dekalb-2018,0,Fully,17,4,30,140000,345000,Amodel,0,0,0,74.49,5009.5,1653.1,2204.2,2755.2,152.8,57.3,210,1443.1,1994.1,2545.2,0
2018,Dekalb,Dekalb-2018,0,Fully,17,3,30,140000,345000,Amodel,0,0,0,76.72,5159.4,1702.6,2270.1,2837.7,152.8,57.3,210,1492.6,2060.1,2627.6,0
2018,Dekalb,Dekalb-2018,0,Fully,23,4,30,200000,495000,Amodel,0,0,0,78.44,5275.1,1740.8,2321,2901.3,219.2,57.3,276.5,1464.3,2044.6,2624.8,0
2018,Dekalb,Dekalb-2018,0,Fully,20,4,30,170000,420000,Amodel,0,0,0,78.81,5300,1749,2332,2915,186,57.3,243.3,1505.7,2088.7,2671.7,0
2018,Dekalb,Dekalb-2018,0,Fully,17,2,30,140000,345000,Amodel,0,0,0,79.75,5363.2,1769.9,2359.8,2949.8,152.8,57.3,210,1559.8,2149.8,2739.7,0
2018,Dekalb,Dekalb-2018,0,Fully,14,2,30,110000,270000,Amodel,0,0,0,79.93,5375.3,1773.8,2365.1,2956.4,119.6,57.3,176.8,1597,2188.3,2779.6,0
2018,Dekalb,Dekalb-2018,0,Fully,20,3,30,170000,420000,Amodel,0,0,0,80.06,5384,1776.7,2369,2961.2,186,57.3,243.3,1533.5,2125.7,2718,0
2018,Dekalb,Dekalb-2018,0,Fully,14,3,30,110000,270000,Amodel,0,0,0,81.07,5452,1799.1,2398.9,2998.6,119.6,57.3,176.8,1622.3,2222,2821.7,0
